13:13:53:974, Waitress fetched customer 2
13:13:53:980, Door added customer 2 to waitingarea
13:13:54:41, Thread-6: Customer 2 is now eating.
13:13:54:106, Waitress fetched customer 3
13:13:54:116, Door added customer 3 to waitingarea
13:13:54:183, Thread-0: Customer 3 is now eating.
13:13:54:242, Waitress fetched customer 4
13:13:54:242, Door added customer 4 to waitingarea
13:13:54:318, Thread-4: Customer 4 is now eating.
13:13:54:375, Waitress fetched customer 5
13:13:54:375, Door added customer 5 to waitingarea
13:13:54:440, Thread-5: Customer 5 is now eating.
13:13:54:504, Waitress fetched customer 6
13:13:54:504, Door added customer 6 to waitingarea
13:13:54:566, Thread-2: Customer 6 is now eating.
13:13:54:628, Door added customer 7 to waitingarea
13:13:54:753, Door added customer 8 to waitingarea
13:13:54:878, Door added customer 9 to waitingarea
13:13:55:03, Door added customer 10 to waitingarea
13:13:55:131, Door added customer 11 to waitingarea
13:13:55:258, Door added customer 12 to waitingarea
13:13:55:383, Door added customer 13 to waitingarea
13:13:55:508, Door added customer 14 to waitingarea
13:13:55:633, Door added customer 15 to waitingarea
13:13:55:760, Door added customer 16 to waitingarea
13:13:55:883, Door added customer 17 to waitingarea
13:13:56:10, Door added customer 18 to waitingarea
13:13:56:133, Door added customer 19 to waitingarea
13:13:56:259, Door added customer 20 to waitingarea
13:13:56:291, Thread-1: Customer 0 is now leaving.
13:13:56:300, Waitress let customer 0 go
13:13:56:302, Waitress fetched customer 7
13:13:56:365, Thread-1: Customer 7 is now eating.
13:13:56:382, Door added customer 21 to waitingarea
13:13:56:417, Thread-3: Customer 1 is now leaving.
13:13:56:421, Waitress let customer 1 go
13:13:56:437, Waitress fetched customer 8
13:13:56:499, Thread-3: Customer 8 is now eating.
13:13:56:505, Door added customer 22 to waitingarea
13:13:56:548, Thread-6: Customer 2 is now leaving.
13:13:56:551, Waitress let customer 2 go
13:13:56:554, Waitress fetched customer 9
13:13:56:617, Thread-6: Customer 9 is now eating.
13:13:56:629, Door added customer 23 to waitingarea
13:13:56:688, Thread-0: Customer 3 is now leaving.
13:13:56:690, Waitress let customer 3 go
13:13:56:692, Waitress fetched customer 10
13:13:56:755, Door added customer 24 to waitingarea
13:13:56:767, Thread-0: Customer 10 is now eating.
13:13:56:836, Thread-4: Customer 4 is now leaving.
13:13:56:839, Waitress let customer 4 go
13:13:56:841, Waitress fetched customer 11
13:13:56:876, Door added customer 25 to waitingarea
13:13:56:903, Thread-4: Customer 11 is now eating.
13:13:56:943, Thread-5: Customer 5 is now leaving.
13:13:56:950, Waitress let customer 5 go
13:13:56:953, Waitress fetched customer 12
13:13:57:04, Door added customer 26 to waitingarea
13:13:57:16, Thread-5: Customer 12 is now eating.
13:13:57:70, Thread-2: Customer 6 is now leaving.
13:13:57:72, Waitress let customer 6 go
13:13:57:74, Waitress fetched customer 13
13:13:57:128, Door added customer 27 to waitingarea
13:13:57:137, Thread-2: Customer 13 is now eating.
13:13:57:250, Door added customer 28 to waitingarea
13:13:57:373, Door added customer 29 to waitingarea
13:13:57:495, Door added customer 30 to waitingarea
13:13:57:619, Door added customer 31 to waitingarea
13:13:57:742, Door added customer 32 to waitingarea
13:13:57:867, Door added customer 33 to waitingarea
13:13:58:473, *** DOOR IS NOW CLOSED ***
13:13:58:869, Thread-1: Customer 7 is now leaving.
13:13:58:873, Waitress let customer 7 go
13:13:58:883, Waitress fetched customer 14
13:13:58:946, Thread-1: Customer 14 is now eating.
13:13:59:03, Thread-3: Customer 8 is now leaving.
13:13:59:05, Waitress let customer 8 go
13:13:59:07, Waitress fetched customer 15
13:13:59:68, Thread-3: Customer 15 is now eating.
13:13:59:121, Thread-6: Customer 9 is now leaving.
13:13:59:123, Waitress let customer 9 go
13:13:59:125, Waitress fetched customer 16
13:13:59:186, Thread-6: Customer 16 is now eating.
13:13:59:268, Thread-0: Customer 10 is now leaving.
13:13:59:270, Waitress let customer 10 go
13:13:59:272, Waitress fetched customer 17
13:13:59:333, Thread-0: Customer 17 is now eating.
13:13:59:409, Thread-4: Customer 11 is now leaving.
13:13:59:413, Waitress let customer 11 go
13:13:59:420, Waitress fetched customer 18
13:13:59:484, Thread-4: Customer 18 is now eating.
13:13:59:518, Thread-5: Customer 12 is now leaving.
13:13:59:523, Waitress let customer 12 go
13:13:59:525, Waitress fetched customer 19
13:13:59:587, Thread-5: Customer 19 is now eating.
13:13:59:639, Thread-2: Customer 13 is now leaving.
13:13:59:641, Waitress let customer 13 go
13:13:59:643, Waitress fetched customer 20
13:13:59:705, Thread-2: Customer 20 is now eating.
13:14:01:450, Thread-1: Customer 14 is now leaving.
13:14:01:455, Waitress let customer 14 go
13:14:01:465, Waitress fetched customer 21
13:14:01:528, Thread-1: Customer 21 is now eating.
13:14:01:570, Thread-3: Customer 15 is now leaving.
13:14:01:572, Waitress let customer 15 go
13:14:01:573, Waitress fetched customer 22
13:14:01:635, Thread-3: Customer 22 is now eating.
13:14:01:689, Thread-6: Customer 16 is now leaving.
13:14:01:691, Waitress let customer 16 go
13:14:01:692, Waitress fetched customer 23
13:14:01:754, Thread-6: Customer 23 is now eating.
13:14:01:835, Thread-0: Customer 17 is now leaving.
13:14:01:837, Waitress let customer 17 go
13:14:01:839, Waitress fetched customer 24
13:14:01:901, Thread-0: Customer 24 is now eating.
13:14:01:989, Thread-4: Customer 18 is now leaving.
13:14:01:990, Waitress let customer 18 go
13:14:01:994, Waitress fetched customer 25
13:14:02:64, Thread-4: Customer 25 is now eating.
13:14:02:91, Thread-5: Customer 19 is now leaving.
13:14:02:94, Waitress let customer 19 go
13:14:02:99, Waitress fetched customer 26
13:14:02:166, Thread-5: Customer 26 is now eating.
13:14:02:208, Thread-2: Customer 20 is now leaving.
13:14:02:211, Waitress let customer 20 go
13:14:02:222, Waitress fetched customer 27
13:14:02:287, Thread-2: Customer 27 is now eating.
13:14:04:30, Thread-1: Customer 21 is now leaving.
13:14:04:32, Waitress let customer 21 go
13:14:04:33, Waitress fetched customer 28
13:14:04:96, Thread-1: Customer 28 is now eating.
13:14:04:138, Thread-3: Customer 22 is now leaving.
13:14:04:141, Waitress let customer 22 go
13:14:04:142, Waitress fetched customer 29
13:14:04:204, Thread-3: Customer 29 is now eating.
13:14:04:256, Thread-6: Customer 23 is now leaving.
13:14:04:258, Waitress let customer 23 go
13:14:04:260, Waitress fetched customer 30
13:14:04:321, Thread-6: Customer 30 is now eating.
13:14:04:405, Thread-0: Customer 24 is now leaving.
13:14:04:407, Waitress let customer 24 go
13:14:04:409, Waitress fetched customer 31
13:14:04:471, Thread-0: Customer 31 is now eating.
13:14:04:566, Thread-4: Customer 25 is now leaving.
13:14:04:568, Waitress let customer 25 go
13:14:04:570, Waitress fetched customer 32
13:14:04:632, Thread-4: Customer 32 is now eating.
13:14:04:671, Thread-5: Customer 26 is now leaving.
13:14:04:674, Waitress let customer 26 go
13:14:04:677, Waitress fetched customer 33
13:14:04:738, Thread-5: Customer 33 is now eating.
13:14:04:791, Thread-2: Customer 27 is now leaving.
13:14:04:795, Waitress let customer 27 go
13:14:06:598, Thread-1: Customer 28 is now leaving.
13:14:06:601, Waitress let customer 28 go
13:14:06:706, Thread-3: Customer 29 is now leaving.
13:14:06:708, Waitress let customer 29 go
13:14:06:823, Thread-6: Customer 30 is now leaving.
13:14:06:825, Waitress let customer 30 go
13:14:06:975, Thread-0: Customer 31 is now leaving.
13:14:06:982, Waitress let customer 31 go
13:14:07:135, Thread-4: Customer 32 is now leaving.
13:14:07:139, Waitress let customer 32 go
13:14:07:240, Thread-5: Customer 33 is now leaving.
13:14:07:242, Waitress let customer 33 go
14:58:37:278, Waitress fetched customer 0
14:58:37:303, Door added customer 0 to waitingarea
14:58:37:386, Waitress fetched customer 0
14:58:37:386, Door added customer 0 to waitingarea
14:58:37:439, Waitress fetched customer 0
14:58:37:441, Door added customer 0 to waitingarea
14:58:37:456, Thread-3: Customer 0 is now eating.
14:58:37:486, Waitress fetched customer 0
14:58:37:486, Door added customer 0 to waitingarea
14:58:37:501, Thread-5: Customer 0 is now eating.
14:58:37:544, Door added customer 0 to waitingarea
14:58:37:544, Waitress fetched customer 0
14:58:37:578, Door added customer 0 to waitingarea
14:58:37:578, Waitress fetched customer 0
14:58:37:581, Thread-0: Customer 0 is now eating.
14:58:37:599, Door added customer 0 to waitingarea
14:58:37:599, Waitress fetched customer 0
14:58:37:615, Thread-1: Customer 0 is now eating.
14:58:37:629, Door added customer 0 to waitingarea
14:58:37:638, Thread-2: Customer 0 is now eating.
14:58:37:654, Door added customer 0 to waitingarea
14:58:37:658, Door added customer 0 to waitingarea
14:58:37:661, Door added customer 0 to waitingarea
14:58:37:666, Door added customer 0 to waitingarea
14:58:37:687, Thread-4: Customer 0 is now eating.
14:58:37:694, Thread-6: Customer 0 is now eating.
14:58:37:694, Door added customer 0 to waitingarea
14:58:37:723, Door added customer 0 to waitingarea
14:58:37:726, Door added customer 0 to waitingarea
14:58:37:727, Door added customer 0 to waitingarea
14:58:37:731, Door added customer 0 to waitingarea
14:58:37:753, Door added customer 0 to waitingarea
14:58:37:757, Door added customer 0 to waitingarea
14:58:37:760, Door added customer 0 to waitingarea
14:58:37:765, Door added customer 0 to waitingarea
14:58:37:780, Door added customer 0 to waitingarea
14:58:37:794, Door added customer 0 to waitingarea
